Si,,
ID,SINTOMA PADRONIZADO,DOENÇAS ASSOCIADAS PADRONIZADAS
58,Palidez,"Anemia Ferropriva, Circovirose suína, Úlceras gástricas"
59,Paralisia flácida,Botulismo
60,Perda de apetite,"Brucelose, Circovirose suína, Colibacilose pós-desmame, Febre aftosa, Leptospirose, Peste suína clássica, Salmonelose, Síndrome do fracasso do desenvolvimento pós-desmame, Vomitoxicose (DON)"
61,Perda de peso,"Colibacilose pós-desmame, Disenteria suína, Ileíte"
62,Pneumonia,"Actinobacilose, Bordetelose, Infecções por streptococcus, Metastrongilose, Pasteurelose, Pleuropneumonia, Pneumonia enzoótica suína, Salmonelose"
63,Prolapso,"Estenose retal, Prolapso retal e/ou vaginal"
64,Retardo de crescimento,"Coccidiose suína, Endocardite, Ileíte, Pneumonia enzoótica suína, Rinite atrófica, Vomitoxicose (DON)"
65,Retenção de placenta,Brucelose
66,Retorno ao cio,Parvovirose suína
67,Rigidez muscular,"Meningite, Meningite estreptocócica"
68,Rinite,"Bordetelose, Citomegalovírus suíno, Rinite atrófica"
69,Salivação intensa,Febre aftosa
70,Secreção nasal,"Pneumonia bacteriana secundária, Rinite atrófica"
71,Secreção ocular,"Pneumonia bacteriana secundária, Rinite atrófica"
72,Septicemia,Listeriose
73,Sinais neurológicos,"Doença de Aujeszky, Doença do Edema, Meningite"
74,Sinais respiratórios,"Infecção pelo vírus Nipah, Influenza Suína, Parainfluenza, Pneumonia enzoótica suína"
75,Tosse,"Pleuropneumonia, Pneumonia bacteriana secundária"
76,Tosse crônica,Pneumonia enzoótica suína
77,Tremores musculares,"Doença de Aujeszky, Meningite estreptocócica, Tremor congênito"
78,Vesículas orais e podais,Febre aftosa
79,Vômito,"Diarreia Epidêmica Suína, Encefalomielite hemaglutinante, Salmonelose, Vomitoxicose (DON)"
